task,target_day,business_day,ds,hour_business,period,y_true,actual_available_at,source_file
dayahead,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,430.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,418.75,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,420.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 01:00:00,1,1_8,416.75,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,425.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,530.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 12:00:00,12,9_16,396.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,464.238,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-26,2026-01-26,2026-01-26 09:00:00,9,9_16,550.0,2026-06-27T02:50:21.093670+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 13:00:00,13,9_16,-23.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 23:00:00,23,17_24,397.5,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 22:00:00,22,17_24,401.79,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 21:00:00,21,17_24,417.57,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-28 00:00:00,24,17_24,387.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 19:00:00,19,17_24,442.91,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 18:00:00,18,17_24,427.075,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 17:00:00,17,17_24,435.84,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 16:00:00,16,9_16,355.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 15:00:00,15,9_16,158.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 14:00:00,14,9_16,1.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 20:00:00,20,17_24,421.5,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 12:00:00,12,9_16,0.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 10:00:00,10,9_16,300.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 09:00:00,9,9_16,416.25,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 08:00:00,8,1_8,391.288,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 07:00:00,7,1_8,367.5,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 06:00:00,6,1_8,355.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 05:00:00,5,1_8,355.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 04:00:00,4,1_8,374.82,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 03:00:00,3,1_8,368.62,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 02:00:00,2,1_8,355.0,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 01:00:00,1,1_8,367.5,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-27,2026-01-27,2026-01-27 11:00:00,11,9_16,197.5,2026-06-27T02:59:17.821327+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 15:00:00,15,9_16,298.5,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 16:00:00,16,9_16,369.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 17:00:00,17,17_24,420.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 19:00:00,19,17_24,430.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 14:00:00,14,9_16,236.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
dayahead,2026-01-28,2026-01-28,2026-01-28 21:00:00,21,17_24,395.0,2026-06-27T03:08:21.639921+00:00,data/shandong_pmos_hourly.xlsx
