task,model_name,target_day,business_day,ds,hour_business,period,y_pred,y_true,age_days,day_gate
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 18:00:00,18,17_24,431.53537,534.75,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 17:00:00,17,17_24,391.98233,486.036,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 16:00:00,16,9_16,337.90286,373.916,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 15:00:00,15,9_16,268.2054,356.98,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 14:00:00,14,9_16,212.54918,394.373,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 12:00:00,12,9_16,227.59444,1051.962,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 21:00:00,21,17_24,371.46527,354.098,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,342.57755,1291.302,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,326.96597,332.64,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,308.70258,324.586,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,283.73163,329.201,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,284.66235,329.854,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,300.9619,334.254,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 03:00:00,3,1_8,345.361,334.594,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 02:00:00,2,1_8,330.49582,334.93,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 23:00:00,23,17_24,351.10132,323.133,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 09:00:00,9,9_16,424.7753,813.45,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 23:00:00,23,17_24,400.9568760873552,323.133,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 11:00:00,11,9_16,289.23505,1275.122,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 01:00:00,1,1_8,360.4753,331.888,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 13:00:00,13,9_16,189.43074,442.419,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 22:00:00,22,17_24,403.573853448117,356.098,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 20:00:00,20,17_24,435.713425282528,401.106,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 19:00:00,19,17_24,476.9241040982363,463.411,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 18:00:00,18,17_24,479.3120470568704,534.75,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 17:00:00,17,17_24,487.9419923373051,486.036,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 16:00:00,16,9_16,396.9575853347476,373.916,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 15:00:00,15,9_16,215.9844985584768,356.98,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 14:00:00,14,9_16,290.2309384015481,394.373,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 13:00:00,13,9_16,271.0479904015692,442.419,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-27 00:00:00,24,17_24,407.847539562496,315.845,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 11:00:00,11,9_16,457.85519685041527,1275.122,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 21:00:00,21,17_24,430.0347227943832,354.098,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 09:00:00,9,9_16,538.1162144609923,813.45,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,502.4355596875693,1291.302,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 02:00:00,2,1_8,447.53608026836616,334.93,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 03:00:00,3,1_8,427.9681049015108,334.594,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,427.950940480928,334.254,30,0.3
realtime,rt916,2026-01-26,2026-01-26,2026-01-26 22:00:00,22,17_24,362.8095,356.098,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,407.5594319844592,329.201,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,410.37117893861847,324.586,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,457.0301345314264,332.64,30,0.3
realtime,sgdfnet,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,415.9764252940109,329.854,30,0.3
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 19:00:00,19,17_24,430.9522399902344,369.22,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 16:00:00,16,9_16,154.34925842285156,355.313,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 17:00:00,17,17_24,364.2208862304688,396.675,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 18:00:00,18,17_24,429.298583984375,362.823,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 22:00:00,22,17_24,433.0320129394531,368.057,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 20:00:00,20,17_24,457.2350769042969,382.194,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 21:00:00,21,17_24,437.4406127929688,375.904,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 08:00:00,8,1_8,407.3316650390625,362.605,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 14:00:00,14,9_16,-67.997314453125,259.493,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 13:00:00,13,9_16,-65.68598937988281,-6.38,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 23:00:00,23,17_24,405.61236572265625,339.641,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 12:00:00,12,9_16,-77.54124450683594,103.769,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 10:00:00,10,9_16,-7.345649719238281,276.831,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 09:00:00,9,9_16,260.2801513671875,461.351,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 07:00:00,7,1_8,387.7200927734375,324.288,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 06:00:00,6,1_8,358.911865234375,325.141,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 05:00:00,5,1_8,335.7388000488281,328.237,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 04:00:00,4,1_8,333.67901611328125,328.429,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 03:00:00,3,1_8,350.7095642089844,331.928,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 02:00:00,2,1_8,342.1967163085937,322.468,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-28 00:00:00,24,17_24,393.9376525878906,328.505,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 11:00:00,11,9_16,-50.16144561767578,244.008,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 15:00:00,15,9_16,-57.53618621826172,293.262,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 20:00:00,20,17_24,412.34836,382.194,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 03:00:00,3,1_8,306.1234,331.928,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 01:00:00,1,1_8,303.2633,327.456,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 16:00:00,16,9_16,330.06653,355.313,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 17:00:00,17,17_24,426.01056,396.675,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 18:00:00,18,17_24,453.1474,362.823,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 19:00:00,19,17_24,430.38837,369.22,29,0.3137931034482759
realtime,timemixer,2026-01-27,2026-01-27,2026-01-27 01:00:00,1,1_8,334.2197265625,327.456,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 21:00:00,21,17_24,405.43246,375.904,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 22:00:00,22,17_24,388.98105,368.057,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 23:00:00,23,17_24,365.00067,339.641,29,0.3137931034482759
realtime,timesfm,2026-01-27,2026-01-27,2026-01-27 14:00:00,14,9_16,70.49779,259.493,29,0.3137931034482759
