target_day,task,model_name,n_pred,n_actual,n_expected,coverage_pct,status
2026-01-28,realtime,timesfm,24,24,24,100.0,ok
2026-01-28,realtime,sgdfnet,24,24,24,100.0,ok
2026-01-28,realtime,timemixer,24,24,24,100.0,ok
2026-01-28,realtime,rt916,24,24,24,100.0,ok
2026-01-27,realtime,timesfm,24,24,24,100.0,ok
2026-01-27,realtime,sgdfnet,24,24,24,100.0,ok
2026-01-27,realtime,timemixer,24,24,24,100.0,ok
2026-01-27,realtime,rt916,24,24,24,100.0,ok
2026-01-26,realtime,timesfm,24,24,24,100.0,ok
2026-01-26,realtime,sgdfnet,24,24,24,100.0,ok
2026-01-26,realtime,timemixer,24,24,24,100.0,ok
2026-01-26,realtime,rt916,24,24,24,100.0,ok
