task,model_name,target_day,business_day,ds,hour_business,period,y_pred,y_true,age_days,day_gate
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 01:00:00,1,1_8,251.48663,301.561,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 03:00:00,3,1_8,240.12383,273.141,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 04:00:00,4,1_8,191.66696,85.363,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 05:00:00,5,1_8,171.61485,86.544,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 06:00:00,6,1_8,173.6432,26.423,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 07:00:00,7,1_8,194.5158,-80.0,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 08:00:00,8,1_8,249.2893,67.228,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 09:00:00,9,9_16,208.85811,192.092,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 10:00:00,10,9_16,154.16676,-80.0,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 11:00:00,11,9_16,151.40321,-80.0,30,0.3
realtime,sgdfnet,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,436.0466309448386,333.527,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 12:00:00,12,9_16,135.23125,-80.0,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 14:00:00,14,9_16,179.76755,160.21,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 15:00:00,15,9_16,219.02328,303.185,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 16:00:00,16,9_16,273.05258,337.436,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 17:00:00,17,17_24,337.35013,414.759,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 18:00:00,18,17_24,389.58688,393.081,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 19:00:00,19,17_24,390.29272,357.897,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 20:00:00,20,17_24,379.8786,390.47,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 21:00:00,21,17_24,382.44196,457.861,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 22:00:00,22,17_24,389.5254,490.202,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 13:00:00,13,9_16,134.22217,-80.0,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-26 00:00:00,24,17_24,396.37796,333.527,30,0.3
realtime,rt916,2026-01-25,2026-01-25,2026-01-25 02:00:00,2,1_8,210.01245,282.316,30,0.3
