task,business_day,hour_business,period,available_models,missing_models,raw_weights,renormalized_weights,renormalized,y_fused
realtime,2026-02-25,1,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,301.3286
realtime,2026-02-25,2,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,318.3689
realtime,2026-02-25,3,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,326.6563
realtime,2026-02-25,4,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,311.9136
realtime,2026-02-25,5,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,293.8843
realtime,2026-02-25,6,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,301.5643
realtime,2026-02-25,7,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,301.4876
realtime,2026-02-25,8,1_8,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797","rt916:0.0760,sgdfnet:0.7643,timemixer:0.0800,timesfm:0.0797",False,331.8271
realtime,2026-02-25,9,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,244.9046
realtime,2026-02-25,10,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,102.3594
realtime,2026-02-25,11,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,61.5655
realtime,2026-02-25,12,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,18.3825
realtime,2026-02-25,13,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,-23.5122
realtime,2026-02-25,14,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,-12.5148
realtime,2026-02-25,15,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,22.0361
realtime,2026-02-25,16,9_16,"rt916,sgdfnet,timemixer,timesfm",,"rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308","rt916:0.0468,sgdfnet:0.2771,timemixer:0.0453,timesfm:0.6308",False,131.3182
