date,status,orig_smape,corr_smape,applied,rollbacks,caps,fp,fn_neg,fn_spk
2025-11-01,ok,23.468331959580734,23.468331959580734,0,24,0,0,4,0
2025-11-02,ok,29.83356326560298,26.82535610791929,6,24,0,0,0,7
2025-11-03,ok,11.840060004547237,23.74482768893449,20,24,0,15,0,0
2025-11-04,ok,18.083622906084372,26.215729809789877,13,24,0,13,0,0
2025-11-05,ok,12.995677218126215,13.050701447057417,13,24,0,8,0,0
2025-11-06,ok,9.604180296992082,13.047397222626403,3,24,0,3,0,0
2025-11-07,ok,3.971913806541379,3.971913806541379,0,24,0,0,0,0
2025-11-08,ok,24.302496172348935,28.771990912437523,4,24,0,4,0,0
2025-11-09,ok,29.631571174175292,28.4777609754848,5,24,0,1,0,0
2025-11-10,ok,40.241404737227775,40.241404737227775,0,24,0,0,0,0
2025-11-11,ok,32.87342898736787,33.65119127671299,5,24,0,5,0,0
2025-11-12,ok,6.762326547563764,9.734294250853468,5,24,0,4,0,0
2025-11-13,ok,12.182740237718411,11.687090933009118,5,24,0,1,0,0
2025-11-14,ok,6.891655758583591,6.005501185563219,4,24,0,1,0,0
2025-11-15,ok,46.76447181246512,47.34514927125627,5,24,0,5,0,0
2025-11-16,ok,57.76476454925083,51.21607734382102,11,24,0,2,0,0
2025-11-17,ok,54.819242806868104,50.91275966750673,1,24,0,0,1,0
2025-11-18,ok,29.847825839280368,32.306302620698794,5,24,0,5,0,0
2025-11-19,ok,11.954929145642685,13.499558479259214,5,24,0,4,0,0
2025-11-20,ok,34.575464117503294,18.638379906597542,3,24,0,0,0,0
2025-11-21,ok,25.319702184618137,25.88647097794512,5,24,0,5,0,0
2025-11-22,ok,8.425864721934557,10.390363198978005,5,24,0,5,0,0
2025-11-23,ok,14.273231988142875,14.273231988142875,0,24,0,0,0,0
2025-11-24,ok,64.66850334561856,54.76108534424243,9,24,0,5,0,1
2025-11-25,ok,62.04837454727726,46.988384502857734,5,24,0,0,1,0
2025-11-26,ok,22.7699951256905,19.913673288708708,5,24,0,0,0,0
2025-11-27,ok,32.698865740641466,30.139935608306097,12,24,0,2,1,0
2025-11-28,ok,20.126217396951866,20.794346355421307,5,24,0,3,0,0
2025-11-29,ok,28.218353655131434,31.80320849894482,4,24,0,4,0,0
2025-11-30,ok,37.01329273086725,36.42093222024065,6,24,0,3,0,0
