task,target_day,business_day,ds,hour_business,period,y_true,actual_available_at,source_file
realtime,2026-01-26,2026-01-26,2026-01-26 04:00:00,4,1_8,334.254,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 05:00:00,5,1_8,329.854,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 06:00:00,6,1_8,329.201,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 01:00:00,1,1_8,331.888,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 07:00:00,7,1_8,324.586,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 10:00:00,10,9_16,1291.302,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 12:00:00,12,9_16,1051.962,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 08:00:00,8,1_8,332.64,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-26,2026-01-26,2026-01-26 09:00:00,9,9_16,813.45,2026-06-27T02:50:21.113171+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 13:00:00,13,9_16,-6.38,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 23:00:00,23,17_24,339.641,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 22:00:00,22,17_24,368.057,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 21:00:00,21,17_24,375.904,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-28 00:00:00,24,17_24,328.505,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 19:00:00,19,17_24,369.22,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 18:00:00,18,17_24,362.823,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 17:00:00,17,17_24,396.675,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 16:00:00,16,9_16,355.313,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 15:00:00,15,9_16,293.262,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 14:00:00,14,9_16,259.493,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 20:00:00,20,17_24,382.194,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 12:00:00,12,9_16,103.769,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
realtime,2026-01-27,2026-01-27,2026-01-27 10:00:00,10,9_16,276.831,2026-06-27T02:59:17.852511+00:00,data/shandong_pmos_hourly.xlsx
